2014-05-29 17:41:25,081 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:25,107 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-05-29 17:41:25,119 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:25,122 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-05-29 17:41:26,365 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:26,365 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-29 17:41:26,368 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:26,368 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-05-29 17:41:33,006 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-web:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/web/pom.xml.
2014-05-29 17:41:34,224 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ear:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/pom.xml.
2014-05-29 17:41:34,437 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-web:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/web/pom.xml.
2014-05-29 17:41:34,632 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ear:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/pom.xml.
2014-05-29 17:41:35,833 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Generating application.xml
2014-05-29 17:41:36,084 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:36,084 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/web/src/main/resources
2014-05-29 17:41:36,086 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:36,087 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/web/src/test/resources
2014-05-29 17:41:38,280 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-web:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/web/pom.xml.
2014-05-29 17:41:39,373 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:39,374 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/src/main/resources
2014-05-29 17:41:39,435 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:39,435 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/web/src/main/resources
2014-05-29 17:41:39,439 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:39,439 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/web/src/test/resources
